neuron_type,laps,replays,skew
NeuronType.CONTAMINATED,0.026259078005578262,0.04816595755978726,0.5451791957625568
NeuronType.CONTAMINATED,0.04454003770963308,0.06889735294150529,0.6464695058378822
NeuronType.PYRAMIDAL,0.1078495879469924,0.07730626153151182,1.395095116622997
NeuronType.CONTAMINATED,0.013634443675236899,0.08326308719189031,0.16375135891628184
NeuronType.PYRAMIDAL,0.24153732100004957,0.08958281754080495,2.696246084133594
NeuronType.PYRAMIDAL,1.0,0.09832031688836065,10.170837845604847
NeuronType.PYRAMIDAL,0.11264021731837819,0.10044798346783432,1.1213785825222473
NeuronType.PYRAMIDAL,-0.9204543813292161,0.10132304702339978,-9.084353544131417
NeuronType.CONTAMINATED,0.25825385054270306,0.10444921987061423,2.472530200442026
NeuronType.PYRAMIDAL,0.17788064409314439,0.11499196806060456,1.546896249304955
NeuronType.INTERNEURONS,0.15211099579730356,0.11939066577574592,1.2740610399393948
NeuronType.PYRAMIDAL,0.36473679619088634,0.1204999192389136,3.026863407831233
NeuronType.PYRAMIDAL,-0.31945512240487134,0.13366924775428807,-2.3898924230657483
NeuronType.PYRAMIDAL,-0.5337154686731052,0.1400934399226624,-3.8097106400395266
NeuronType.PYRAMIDAL,-0.004173251956932514,0.14312525137862983,-0.02915804106357452
NeuronType.PYRAMIDAL,0.25318331450669024,0.14683099001961797,1.724317969066766
NeuronType.CONTAMINATED,0.23476650978655822,0.15322851265251186,1.532133319853834
NeuronType.PYRAMIDAL,0.11202569061985825,0.16118418843596077,0.6950166248122196
NeuronType.CONTAMINATED,0.1256090278180073,0.17060053381850476,0.7362757021126197
NeuronType.PYRAMIDAL,0.0631762956925871,0.17250410498121357,0.36623068013058163
NeuronType.CONTAMINATED,0.29956987431790205,0.18223303196730503,1.6438834995164255
NeuronType.PYRAMIDAL,0.055741685911885545,0.21336665370735758,0.2612483485274972
NeuronType.INTERNEURONS,-0.15840795313396283,0.21530943141274128,-0.735722314134488
NeuronType.PYRAMIDAL,-0.17277974522135597,0.21638744642438235,-0.7984739783956677
NeuronType.PYRAMIDAL,0.09323678891718502,0.23231749063876464,0.401333488325943
NeuronType.INTERNEURONS,0.23835958790955986,0.26712317183631634,0.8923208955291164
NeuronType.CONTAMINATED,0.07949970244056327,0.2683078534783659,0.29630031849579636
NeuronType.PYRAMIDAL,0.8064624392769496,0.2996462486711963,2.691381730468069
NeuronType.PYRAMIDAL,0.742834100088981,0.3705867537341168,2.004480982129056
NeuronType.PYRAMIDAL,-0.3164689356509432,0.3709151353800087,-0.8532111673650511
NeuronType.CONTAMINATED,0.16282892862848766,0.38021005121806406,0.4282604526283274
NeuronType.INTERNEURONS,0.5615563684258604,0.39536321257348606,1.4203556389847072
NeuronType.CONTAMINATED,0.39258310978342503,0.4063895120739533,0.9660266766726602
NeuronType.PYRAMIDAL,0.6575449402485496,0.4454082741816566,1.4762746414099495
NeuronType.PYRAMIDAL,0.13902982861270488,0.45974578580672226,0.30240587930294416
NeuronType.PYRAMIDAL,0.14819454902168575,0.5319898814190862,0.2785664806751134
NeuronType.INTERNEURONS,0.4508521640694564,0.5977870882991602,0.7542019105033416
NeuronType.PYRAMIDAL,0.13553845856249302,0.5997302725394392,0.22599902784393763
NeuronType.PYRAMIDAL,0.5780665857144375,0.7790073208291274,0.7420553957043421
NeuronType.INTERNEURONS,0.9365307226861536,1.0,0.9365307226861536
NeuronType.PYRAMIDAL,0.7162080190445028,1.0,0.7162080190445028
NeuronType.PYRAMIDAL,0.9396408108900274,1.0,0.9396408108900274
