,format_name,animal,exper_name,session_name,context,basedirs,status,errors,n_long_laps,n_long_replays,n_short_laps,n_short_replays,is_ready
20,kdiba,vvp01,one,2006-4-18_13-6-1,kdiba_vvp01_one_2006-4-18_13-6-1,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-18_13-6-1,SessionBatchProgress.COMPLETED,,53,26,52,29,True
21,kdiba,vvp01,one,2006-4-18_15-23-32,kdiba_vvp01_one_2006-4-18_15-23-32,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-18_15-23-32,SessionBatchProgress.COMPLETED,,42,11,41,7,True
22,kdiba,vvp01,one,2006-4-19_13-34-40,kdiba_vvp01_one_2006-4-19_13-34-40,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-19_13-34-40,SessionBatchProgress.COMPLETED,,42,16,44,23,True
23,kdiba,vvp01,one,2006-4-19_16-48-9,kdiba_vvp01_one_2006-4-19_16-48-9,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-19_16-48-9,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
24,kdiba,vvp01,one,2006-4-21_10-24-35,kdiba_vvp01_one_2006-4-21_10-24-35,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-21_10-24-35,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
25,kdiba,vvp01,one,2006-4-25_14-28-51,kdiba_vvp01_one_2006-4-25_14-28-51,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-25_14-28-51,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
26,kdiba,vvp01,one,2006-4-25_17-17-6,kdiba_vvp01_one_2006-4-25_17-17-6,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-25_17-17-6,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
27,kdiba,vvp01,one,2006-4-26_13-22-13,kdiba_vvp01_one_2006-4-26_13-22-13,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-26_13-22-13,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
28,kdiba,vvp01,one,2006-4-27_14-43-12,kdiba_vvp01_one_2006-4-27_14-43-12,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-27_14-43-12,SessionBatchProgress.COMPLETED,,55,42,35,17,True
29,kdiba,vvp01,one,2006-4-28_12-17-27,kdiba_vvp01_one_2006-4-28_12-17-27,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-28_12-17-27,SessionBatchProgress.FAILED,Required File: /nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-28_12-17-27/2006-4-28_12-17-27.position_info.mat does not exist.,0,0,0,0,False
30,kdiba,vvp01,one,2006-4-28_16-48-29,kdiba_vvp01_one_2006-4-28_16-48-29,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-28_16-48-29,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
31,kdiba,vvp01,two,2006-4-09_16-40-54,kdiba_vvp01_two_2006-4-09_16-40-54,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-09_16-40-54,SessionBatchProgress.COMPLETED,,48,136,50,32,True
32,kdiba,vvp01,two,2006-4-10_12-58-3,kdiba_vvp01_two_2006-4-10_12-58-3,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-10_12-58-3,SessionBatchProgress.COMPLETED,,54,56,40,26,True
33,kdiba,vvp01,two,2006-4-10_19-11-57,kdiba_vvp01_two_2006-4-10_19-11-57,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-10_19-11-57,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
34,kdiba,vvp01,two,2006-4-11_12-48-38,kdiba_vvp01_two_2006-4-11_12-48-38,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-11_12-48-38,SessionBatchProgress.COMPLETED,,42,53,44,34,True
35,kdiba,vvp01,two,2006-4-11_16-2-46,kdiba_vvp01_two_2006-4-11_16-2-46,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-11_16-2-46,SessionBatchProgress.COMPLETED,,42,32,40,22,True
36,kdiba,vvp01,two,2006-4-12_14-59-23,kdiba_vvp01_two_2006-4-12_14-59-23,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-12_14-59-23,SessionBatchProgress.FAILED,Required File: /nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-12_14-59-23/2006-4-12_14-59-23.position_info.mat does not exist.,0,0,0,0,False
37,kdiba,vvp01,two,2006-4-12_15-25-59,kdiba_vvp01_two_2006-4-12_15-25-59,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-12_15-25-59,SessionBatchProgress.COMPLETED,,40,16,40,9,True
38,kdiba,vvp01,two,2006-4-16_14-49-24,kdiba_vvp01_two_2006-4-16_14-49-24,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-16_14-49-24,SessionBatchProgress.COMPLETED,,56,53,42,37,True
39,kdiba,vvp01,two,2006-4-16_18-47-52,kdiba_vvp01_two_2006-4-16_18-47-52,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-16_18-47-52,SessionBatchProgress.COMPLETED,,46,49,40,14,True
40,kdiba,vvp01,two,2006-4-17_12-52-15,kdiba_vvp01_two_2006-4-17_12-52-15,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-17_12-52-15,SessionBatchProgress.COMPLETED,,46,39,40,36,True
41,kdiba,vvp01,two,2006-4-18_13-28-57,kdiba_vvp01_two_2006-4-18_13-28-57,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-18_13-28-57,SessionBatchProgress.FAILED,index -1 is out of bounds for axis 0 with size 0,0,0,0,0,False
42,kdiba,vvp01,two,2006-4-18_15-38-2,kdiba_vvp01_two_2006-4-18_15-38-2,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-18_15-38-2,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
43,kdiba,vvp01,two,2006-4-19_13-50-7,kdiba_vvp01_two_2006-4-19_13-50-7,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-19_13-50-7,SessionBatchProgress.COMPLETED,,42,23,42,14,True
44,kdiba,vvp01,two,2006-4-19_16-37-40,kdiba_vvp01_two_2006-4-19_16-37-40,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-19_16-37-40,SessionBatchProgress.COMPLETED,,40,3,40,2,False
45,kdiba,vvp01,two,2006-4-21_11-19-2,kdiba_vvp01_two_2006-4-21_11-19-2,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-21_11-19-2,SessionBatchProgress.COMPLETED,,42,11,41,3,False
46,kdiba,vvp01,two,2006-4-25_13-20-55,kdiba_vvp01_two_2006-4-25_13-20-55,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-25_13-20-55,SessionBatchProgress.COMPLETED,,42,14,42,9,True
47,kdiba,vvp01,two,2006-4-25_17-33-28,kdiba_vvp01_two_2006-4-25_17-33-28,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-25_17-33-28,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
48,kdiba,vvp01,two,2006-4-26_13-51-50,kdiba_vvp01_two_2006-4-26_13-51-50,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-26_13-51-50,SessionBatchProgress.COMPLETED,,40,34,44,8,True
49,kdiba,vvp01,two,2006-4-27_18-21-57,kdiba_vvp01_two_2006-4-27_18-21-57,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-27_18-21-57,SessionBatchProgress.FAILED,Required File: /nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/two/2006-4-27_18-21-57/2006-4-27_18-21-57.position_info.mat does not exist.,0,0,0,0,False
