"EndTime","StartTime","ScriptPath","Duration"
"10/28/2025 7:11:25 AM","10/28/2025 6:41:39 AM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:29:45.6685963"
"10/28/2025 8:47:33 AM","10/28/2025 7:11:28 AM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","01:36:05.1728212"
"10/28/2025 9:04:35 AM","10/28/2025 8:47:35 AM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:16:59.7308348"
"10/28/2025 9:21:01 AM","10/28/2025 9:04:35 AM","K:\scratch\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:16:25.9865266"
"10/28/2025 9:42:57 AM","10/28/2025 9:21:02 AM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:21:54.5757846"
"10/28/2025 10:02:47 AM","10/28/2025 9:43:00 AM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:19:47.3994526"
"10/28/2025 10:15:49 AM","10/28/2025 10:02:48 AM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:13:00.5708825"
"10/28/2025 11:15:57 AM","10/28/2025 10:15:51 AM","K:\scratch\gen_scripts\run_kdiba_pin01_one_fet11-01_12-58-54\run_kdiba_pin01_one_fet11-01_12-58-54__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","01:00:05.8406617"
"10/28/2025 11:53:45 AM","10/28/2025 11:15:58 AM","K:\scratch\gen_scripts\run_kdiba_pin01_one_11-02_17-46-44\run_kdiba_pin01_one_11-02_17-46-44__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Final.py","00:37:47.2876679"
"10/28/2025 1:54:11 PM","10/28/2025 1:51:52 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:02:18.4157465"
"10/28/2025 1:56:39 PM","10/28/2025 1:54:14 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:02:25.0186970"
"10/28/2025 1:57:42 PM","10/28/2025 1:56:41 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:01:01.0948378"
"10/28/2025 1:59:49 PM","10/28/2025 1:57:44 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:02:04.8450333"
"10/28/2025 2:01:19 PM","10/28/2025 1:59:50 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:01:28.7218905"
"10/28/2025 2:03:56 PM","10/28/2025 2:01:20 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:02:35.8847131"
"10/28/2025 2:04:46 PM","10/28/2025 2:03:56 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:00:49.4586090"
"10/28/2025 2:05:45 PM","10/28/2025 2:04:47 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:00:57.4463019"
"10/28/2025 2:06:48 PM","10/28/2025 2:05:47 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:01:00.9460958"
"10/28/2025 2:07:50 PM","10/28/2025 2:06:51 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:00:59.4503982"
"10/28/2025 2:08:17 PM","10/28/2025 2:07:51 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:00:25.8933758"
